"","approx_year_built","cats_allowed","coop_condo","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","sale_price","sq_footage","walk_score","Zipcode","total_charges"
"139",1989,"Yes","condo","formal","Yes","gas","yes","Eat_In",0,3,3,0,7,670000,2050,"Car-Dependent","North Queens",817
"140",1958,"Yes","co-op","other","Yes","gas","no","Efficient",869,3,1,1,5,505000,1035,"Walker's Paradise","Northwest Queens",0
"141",1926,"Yes","co-op",NA,"No","oil","no","Efficient",757,1,1,0,3,310000,NA,"Walker's Paradise","Northwest Queens",0
"142",1975,"No","co-op","combo","No","oil","yes","Efficient",964,1,1,0,3,375000,800,"Somewhat Walkable","Southeast Queens",0
"143",1952,"Yes","co-op",NA,"No","gas","no","Efficient",687,1,1,0,4,176000,NA,"Somewhat Walkable","Northeast Queens",0
"144",1928,"No","co-op","combo","No","oil","no","Eat_In",775,1,1,0,3,220000,1000,"Walker's Paradise","Southwest Queens",0
"145",1989,"Yes","condo",NA,"Yes","gas","no","Eat_In",0,2,1,0,4,459000,807,"Walker's Paradise","West Queens",1161.5
"146",2009,"No","condo","combo","No","gas","no","Eat_In",0,2,2,0,6,565000,1044,"Walker's Paradise","North Queens",318.583333333333
"147",1940,"No","co-op","formal","No","oil","no","Combo",NA,3,2,2,5,850000,2000,"Very Walkable","West Central Queens",0
"148",1947,"No","co-op","other","No","oil","no","Efficient",NA,2,1,0,4,335000,1000,"Walker's Paradise","West Queens",0
"149",1956,"No","co-op","other","No","gas","no","Eat_In",NA,1,1,0,3,352500,1300,"Car-Dependent","North Queens",0
"150",2007,"No","condo","combo","No","gas","no","Eat_In",0,2,1,1,5,405000,850,"Very Walkable","Central Queens",333
"151",NA,"No","co-op",NA,"No",NA,"no",NA,NA,2,1,0,4,235000,NA,"Walker's Paradise","North Queens",0
"152",1960,"No","co-op",NA,"No","gas","no","Eat_In",NA,2,2,0,6,370000,1250,"Very Walkable","North Queens",0
"153",1950,"Yes","co-op",NA,"No","gas","no","Combo",634,1,1,0,4,120000,800,"Very Walkable","Southwest Queens",0
"154",1955,"Yes","co-op","other","No","oil","no","Efficient",750,1,1,0,3,128000,NA,"Very Walkable","North Queens",0
"155",1972,"No","condo","combo","No","gas","yes","Eat_In",0,1,1,0,4,475000,874,"Very Walkable","North Queens",959.333333333333
"156",1954,"No","co-op","combo","No","gas","no","Eat_In",779,2,1,0,6,130000,NA,"Very Walkable","Jamaica",0
"157",2014,"No","condo","combo","No","gas","no","Eat_In",0,2,2,0,5,655000,980,"Walker's Paradise","West Queens",280.833333333333
"158",1965,"Yes","co-op","combo","Yes","oil","yes","Efficient",487,1,1,0,3,142000,NA,"Very Walkable","Jamaica",0
"159",1950,"Yes","co-op","combo","Yes","gas","yes","Efficient",655,1,1,0,3,155000,NA,"Somewhat Walkable","Northeast Queens",0
"160",1959,"No","co-op",NA,"No","oil","no","Eat_In",NA,2,1,0,5,190000,1100,"Very Walkable","North Queens",0
"161",1971,"Yes","condo","combo","Yes","gas","yes","Eat_In",0,3,1,1,6,660000,NA,"Somewhat Walkable","Northeast Queens",669
"162",1983,"Yes","condo","formal","Yes","gas","no","Eat_In",0,1,1,0,3,408000,NA,"Very Walkable","Northeast Queens",365.166666666667
"163",1987,"No","condo","combo","Yes","gas","no","Efficient",0,3,2,0,6,460000,1033,"Very Walkable","West Central Queens",696.666666666667
"164",1958,"Yes","co-op","combo","Yes","oil","no","Efficient",727,1,1,0,3,160000,800,"Very Walkable","Jamaica",0
"165",1950,"No","co-op","combo","No","electric","no","Eat_In",735,1,1,0,3,169000,NA,"Somewhat Walkable","Central Queens",0
"166",1952,"Yes","co-op",NA,"Yes","oil","no","Efficient",676,1,1,0,3,170000,NA,"Very Walkable","North Queens",0
"167",1937,"Yes","co-op","combo","No","oil","no","Efficient",397,0,1,0,2,182000,NA,"Walker's Paradise","West Queens",0
"168",1952,"Yes","co-op","combo","No","gas","yes","Efficient",671,1,1,0,3,162000,NA,"Somewhat Walkable","Central Queens",0
"169",2008,"No","condo","combo","No",NA,"no","Eat_In",0,2,2,0,5,599000,NA,"Walker's Paradise","North Queens",NA
"170",1986,"No","condo","formal","No","gas","no","Eat_In",0,1,1,0,4,475000,750,"Somewhat Walkable","North Queens",661.833333333333
"171",1965,"Yes","condo",NA,"Yes","gas","no","Efficient",0,2,2,0,5,285000,NA,"Very Walkable","Southwest Queens",810.833333333333
"172",1963,"No","co-op",NA,"No","oil","yes","Efficient",612,0,1,0,2,120000,NA,"Walker's Paradise","Southwest Queens",0
"173",1940,"No","co-op","formal","No","oil","no","Efficient",NA,3,2,0,5,490000,NA,"Walker's Paradise","West Central Queens",0
"174",1958,"No","co-op","other","No","oil","no","Efficient",606,2,1,1,4,285000,1000,"Walker's Paradise","West Queens",0
"175",1955,"No","co-op","combo","No","gas","no","Efficient",670,1,1,0,3,186500,NA,"Somewhat Walkable","Northeast Queens",0
"176",1950,"Yes","co-op","formal","No","gas","no","Eat_In",463,2,1,0,4,212000,NA,"Very Walkable","Northeast Queens",0
"177",2007,"No","condo","formal","No","gas","no","Eat_In",0,2,2,0,6,495000,1000,"Very Walkable","Central Queens",427.666666666667
"178",1955,"No","co-op","formal","No",NA,"no","Efficient",NA,2,1,1,5,505000,NA,"Walker's Paradise","West Central Queens",0
"179",1950,"No","co-op",NA,"No","oil","no","Efficient",614,1,1,0,3,125000,NA,"Very Walkable","Northeast Queens",0
"180",1965,"No","co-op","formal","No","gas","no","Efficient",NA,3,3,0,6,755000,NA,"Walker's Paradise","West Central Queens",0
"181",1952,"Yes","co-op",NA,"No","gas","no","Efficient",NA,1,1,0,4,127000,675,"Walker's Paradise","West Queens",0
"182",2002,"No","condo",NA,"No","gas","no","Efficient",0,2,2,0,5,560000,NA,"Walker's Paradise","North Queens",NA
"183",1950,"Yes","co-op","combo","Yes","gas","no","Eat_In",789,3,1,0,5,301000,856,"Somewhat Walkable","Southeast Queens",0
"184",1950,"No","co-op","combo","No","gas","no","Eat_In",632,2,1,0,5,220000,NA,"Very Walkable","Northeast Queens",0
"185",1964,"No","condo","formal","No","oil","no","Efficient",0,3,2,0,6,355000,NA,"Very Walkable","Southwest Queens",1277.16666666667
"186",1947,"Yes","co-op","combo","Yes","gas","no","Eat_In",667,1,1,0,4,220000,800,"Walker's Paradise","West Central Queens",0
"187",1920,"Yes","co-op","combo","Yes","oil","no","Efficient",592,1,1,0,1,125000,NA,"Walker's Paradise","West Central Queens",0
"188",1954,"Yes","condo",NA,"Yes","oil","no","Eat_In",0,2,2,0,5,540000,NA,"Very Walkable","Central Queens",722
"189",1955,"No","co-op","other","No","gas","no","Eat_In",558,1,1,0,3,108000,800,"Somewhat Walkable","Jamaica",0
"190",2007,"Yes","condo","combo","No","gas","no","Efficient",0,2,2,0,6,475000,900,"Very Walkable","Central Queens",441
"191",1963,"No","co-op","formal","No","other","yes","Eat_In",435,1,1,0,2,160000,NA,"Very Walkable","West Central Queens",0
"192",1990,"No","condo","formal","No","gas","no","Eat_In",0,3,1,0,6,160000,1000,"Walker's Paradise","Jamaica",283.333333333333
"193",1955,"Yes","co-op","other","No","oil","yes","Combo",806,2,1,0,5,276000,NA,"Walker's Paradise","Jamaica",0
"194",1963,"No","co-op","combo","No","gas","no","Eat_In",661,1,1,0,4,120000,850,"Walker's Paradise","Jamaica",0
"195",1936,"Yes","co-op","formal","Yes","gas","no","Efficient",941,2,1,0,4,315000,1050,"Very Walkable","Southwest Queens",0
"196",1950,"Yes","co-op","combo","No","oil","yes","Eat_In",928,2,1,0,5,238888,800,"Very Walkable","North Queens",0
"197",1960,"Yes","co-op","formal","No","gas","no","Efficient",673,1,1,0,4,123000,NA,"Very Walkable","Southwest Queens",0
"198",1955,"No","co-op","combo","No","oil","no","Combo",509,0,1,0,2,119000,NA,"Walker's Paradise","West Central Queens",0
"199",1960,"Yes","co-op","combo","No","oil","no","Efficient",593,1,1,0,4,124000,NA,"Very Walkable","Southwest Queens",0
"200",1956,"No","co-op",NA,"No","gas","no","Efficient",622,1,1,0,3,275000,800,"Walker's Paradise","West Central Queens",0
"201",1955,"Yes","co-op","combo","Yes","oil","no","Efficient",913,2,1,0,4,380000,NA,"Walker's Paradise","West Central Queens",0
"202",1954,"Yes","co-op","combo","Yes","gas","yes","Eat_In",706,1,1,0,4,125000,NA,"Very Walkable","Jamaica",0
"203",1935,"Yes","co-op","formal","No","gas","no","Combo",523,1,1,0,4,281000,NA,"Walker's Paradise","West Queens",0
"204",1950,"Yes","co-op","formal","No","oil","no","Efficient",913,2,1,0,4,219000,NA,"Very Walkable","North Queens",0
"205",1950,"Yes","co-op","formal","Yes","gas","no","Efficient",NA,3,1,0,6,286000,NA,"Somewhat Walkable","Central Queens",0
"206",1960,"No","co-op","combo","No","gas","no","Eat_In",783,3,1,0,6,272000,NA,"Very Walkable","Southwest Queens",0
"207",1960,"No","co-op","combo","No","gas","no","Efficient",722,2,1,0,4,247000,NA,"Very Walkable","West Queens",0
"208",1991,"Yes","condo","combo","Yes","gas","no","Combo",0,1,1,0,3,247000,NA,"Walker's Paradise","West Queens",446.5
"209",1960,"Yes","co-op","formal","No","gas","no","Eat_In",NA,2,2,0,5,319000,1200,"Very Walkable","North Queens",0
"210",1937,"No","co-op","formal","No","gas","no","Combo",773,1,1,0,4,157000,NA,"Very Walkable","Central Queens",0
